Date,StoreID,SKU,Demand
1/1/2001,1,A,60
4/1/2001,1,A,160
7/1/2001,1,A,110
10/1/2001,1,A,80
1/1/2002,1,A,70
4/1/2002,1,A,140
7/1/2002,1,A,120
10/1/2002,1,A,60
1/1/2003,1,A,50
4/1/2003,1,A,120
7/1/2003,1,A,100
10/1/2003,1,A,50
1/1/2001,1,B,80
4/1/2001,1,B,30
7/1/2001,1,B,40
10/1/2001,1,B,20
1/1/2002,1,B,20
4/1/2002,1,B,10
7/1/2002,1,B,10
10/1/2002,1,B,20
1/1/2003,1,B,40
4/1/2003,1,B,30
7/1/2003,1,B,50
10/1/2003,1,B,60
1/1/2001,2,A,190
4/1/2001,2,A,260
7/1/2001,2,A,330
10/1/2001,2,A,480
1/1/2002,2,A,570
4/1/2002,2,A,710
7/1/2002,2,A,650
10/1/2002,2,A,690
1/1/2003,2,A,730
4/1/2003,2,A,680
7/1/2003,2,A,660
10/1/2003,2,A,590
1/1/2001,2,B,50
4/1/2001,2,B,20
7/1/2001,2,B,60
10/1/2001,2,B,40
1/1/2002,2,B,30
4/1/2002,2,B,60
7/1/2002,2,B,40
10/1/2002,2,B,20
1/1/2003,2,B,50
4/1/2003,2,B,40
7/1/2003,2,B,30
10/1/2003,2,B,60
